title,date
"Siege of Hulst (1596)",1596-08-18
"Land Battle of Vella Lavella",1943-10-09
"Longueuil municipal election, 2009",2009-11-02
"Canadian federal election, 1972",1972-10-30
"Minnesota House of Representatives District 14A special election, 2013",2013-02-12
"11th Berlin International Film Festival",1961-07-04
"Battle of Bryn Glas",1402-06-22
"United States Senate election in Pennsylvania, 2006",2006-11-07
"UFC 30",2001-02-23
"Quebec general election, 2003",2003-04-14
"Operation Robin",1968-06-19
"Wounded Knee Massacre",1890-12-29
"Scottish Parliament election, 2016",2016-05-05
"1889 Kumamoto earthquake",1889-07-28
"Spanish general election, 1905",1905-09-10
"Battle of Sződfalva",1527-07-25
"Philippine House of Representatives elections in the Zamboanga Peninsula, 2013",2013-05-13
"United States House of Representatives elections in Hawaii, 2010",2010-11-04
"South Korean presidential election, 1948",1948-07-20
"Siege of Mount Hiei",1571-09-29
"Battle of Antrim",1798-06-07
"ECW One Night Stand (2006)",2006-06-11
"Fall of Mogadishu",2006-12-28
"Action of 21 October 1794",1794-10-21
"Operation Bulldog Bite",2010-11-12
"New Jersey gubernatorial election, 1853",1853-11-01
"Singaporean general election, 2015",2015-09-11
"Convoy ON 113",1942-07-31
"Bellator Fighting Championships: Season One  Bellator 5  1",2009-05-01
"Combat of the Côa",1810-07-24
"United States Senate election in Illinois, 1972",1972-11-06
"2002 Cupa României Final",2002-06-05
"English Civil War",1642-08-22
"1994 Northridge earthquake",1994-01-17
"Bear River Massacre",1863-01-29
"Mary Carver Affair",1842-04-24
"1946 FA Cup Final",1946-04-27
"Dutch general election, 1971",1971-03-28
"1909 German football championship",1909-05-30
"Missouri gubernatorial election, 1896",1896-11-03
"1951 All-Ireland Senior Football Championship Final",1951-09-23
"Operation Eagle Pull",1975-04-12
"1872 FA Cup Final",1872-03-16
"Battle of Collierville",1863-11-03
"Factional violence in Libya (2011–14)",2011-11-01
"1982 Football League Cup Final",1982-03-13
"United States Senate election in Florida, 2006",2006-11-07
"Battle of Blandford",1781-04-25
"1993 Guatemalan constitutional crisis",1993-05-25
"First Encirclement Campaign against the Hubei-Henan-Anhui Soviet",1931-03-09
"United Kingdom local elections, 1976",1976-05-06
"Texas gubernatorial election, 1968",1968-11-05
"1973 All-Ireland Under-21 Hurling Championship Final",1973-11-11
"West German federal election, 1949",1949-08-14
"Battle of Prostki",1656-10-08
"2012 Belgian Cup Final",2012-03-24
"Ladies Professional Wrestling Association",1992-02-23
"Iraq War in Anbar Province",2011-12-07
"1983 Kopaonik earthquake",1983-09-10
"Karbala governorate election, 2009",2009-01-31
"Barcelona City Council election, 1999",1999-06-13
"Kansas gubernatorial election, 2014",2014-11-04
"Mehmed II's first Albanian campaign",1452-07-21
"Spanish regional elections, 1983",1983-05-08
"Uruguayan War",1865-02-20
"Valencia City Council election, 2011",2011-05-22
"2010 Norwegian Football Cup Final",2010-11-14
"Operation Leyte Gulf",2007-07-11
"2012 CECAFA Cup Final",2012-12-08
"Mexican general election, 2012",2012-07-01
"1976 Scottish Cup Final",1976-05-01
"Battle of Tel el-Kebir",1882-09-13
"Battle of the Embarras River",1786-04-15
"Battle of Ban Houei Sane",1968-01-24
"Battle of Lechfeld (910)",0910-06-12
"Battle of Fort De Russy",1864-03-14
"United States presidential election in Massachusetts, 2016",2016-11-08
"Navarrese parliamentary election, 2011",2011-05-22
"Uzbekistani parliamentary election, 2009–2010",2010-01-10
"July 1936 military uprising in Seville",1936-07-25
"New Hampshire gubernatorial election, 2004",2004-11-02
"Action of 17 June 1778",1778-06-17
"Virginia gubernatorial election, 1941",1941-11-04
"Manchester Central by-election, 2012",2012-11-15
"European Parliament election, 2004 (Gibraltar)",2004-06-10
"2000 FA Charity Shield",2000-08-13
"Battle of Wana",2004-03-23
"Uttar Pradesh Legislative Assembly election, 1952",1952-03-27
"1966 Tashkent earthquake",1966-04-26
"Operation New Market",2005-05-25
"Qalamoun offensive (June–August 2014)",2014-08-07
"Battle of Albulena",1457-09-02
"Battle of Melrose",1526-07-26
"Galway City Council election, 1999",1999-06-10
"Danish general election, 1960",1960-11-15
"7th Berlin International Film Festival",1957-07-02
"Bulgarian coup d'état of 1923",1923-06-09
"Japanese general election, 1928",1928-02-20
"Valley Forge",1778-06-18
"Alberta general election, 1971",1971-08-30
"Yamuna Pushkaram",2014-06-19
"Invasion of Martinique (1674)",1674-07-21
"Battle of the Afsluitdijk",1940-05-14
"Battle of Dungeness",1652-11-30
"18th Moscow International Film Festival",1993-07-12
"Virginia's 11th congressional district election, 2010",2010-11-02
"Moldovan presidential election, 2005",2005-04-04
"2004 Bulgarian Cup Final",2004-05-12
"Tamil Nadu Legislative Assembly election, 1989",1989-03-11
"UFC 124",2010-12-11
"United States presidential election in Tennessee, 1980",1980-11-04
"Battle of Neuville",1760-05-16
"Idaho gubernatorial election, 2002",2002-11-05
"Siege of Jülich (1610)",1610-09-02
"Pride 31",2006-02-26
"Samu Incident",1966-11-13
"Siege of Lingen (1605)",1605-08-19
"Battle of Malplaquet",1709-09-11
"Battle of the Metaxas Line",1941-04-09
"Battle of Adwalton Moor",1643-06-30
"Battle of Malcolm's Mills",1814-11-06
"Battle of Bothaville",1900-11-06
"United States Senate election in Texas, 2012",2012-11-06
"Siege of Ypres (1678)",1678-03-18
"California State Treasurer election, 2002",2002-11-05
"Greek legislative election, 2004",2004-03-07
"1990 Supercoppa Italiana",1990-09-01
"Battle of Tianmen",1945-08-17
"Taboo Tuesday (2004)",2004-10-19
"UFC 7",1995-09-08
"1999 Hector Mine earthquake",1999-10-16
"Cleveland mayoral election, 2001",2001-11-06
"Voyage of the Glorioso",1747-10-19
"Battle of Kilmacrennan",1608-07-05
"Cyber Sunday (2006)",2006-11-05
"United States House of Representatives elections in California, 1910",1910-11-08
"United States presidential election in Vermont, 1948",1948-11-02
"Wasit governorate election, 2009",2009-01-31
"1948 Ashgabat earthquake",1948-10-05
"Indo-Pakistani War of 1947",1949-01-01
"2009 in World Victory Road",2009-01-04
"Battle of Ossów",1920-08-14
"2015 League of Ireland Cup Final",2015-09-19
"Battle of Chuenpee",1839-11-03
"Ontario general election, 1875",1875-01-18
"Battle of Mailberg",1082-05-12
"London Assembly election, 2004",2004-06-10
"Operation Jupiter (1944)",1944-07-11
"1980 European Cup Winners' Cup Final",1980-05-14
"Second Battle of the Marne",1918-08-06
"Battle of Tewkesbury",1471-05-04
"Gambian parliamentary election, 2012",2012-03-29
"Battle of Byram's Ford",1864-10-23
"2003 Scottish Cup Final",2003-05-31
"Pacification of Rabaul",1943-12-17
"USS Liberty incident",1967-06-08
"Battle of Fort Lahtzanit",1973-10-06
"Democratic Party presidential primaries, 1960",1960-06-07
"Battle of Lepanto",1571-10-07
"1932 All-Ireland Senior Camogie Championship Final",1933-07-30
"Arizona gubernatorial election, 1978",1978-11-07
"Cabinda War",1975-11-08
"United States Senate election in New Jersey, 1996",1996-11-05
"Battle of Stirling's Plantation",1863-09-29
"Battle of San Roque",1829-04-22
"Battle of Lemberg (1918)",1918-11-01
"Fight at Aldie",1863-03-02
"Yakut Revolt",1923-06-16
"1952 FA Charity Shield",1952-09-24
"Maysan governorate election, 2013",2013-04-20
"Battle of Zborov (1917)",1917-07-02
"Nigerian general election, 2007",2007-04-21
"Glasgow East by-election, 2008",2008-07-24
"United States House of Representatives elections in Massachusetts, 2012",2012-11-06
"2010 AFC Champions League Final",2010-11-13
"Zambales' 2nd legislative district special election, 2012",2012-02-04
"The Ultimate Fighter 1  The Ultimate Fighter: Team Couture vs. Team Liddel  1",2005-04-09
"United States presidential election in Kansas, 2004",2004-11-02
"Polish parliamentary election, 2007",2007-10-21
"Isabela's 4th legislative district special election, 2003",2003-05-12
"1915 Avezzano earthquake",1915-01-13
"United States Senate election in Arkansas, 1986",1986-11-04
"15th Vietnam Film Festival",2007-11-24
"Bristol City Council election, 2014",2014-05-22
"United States House of Representatives elections in Tennessee, 2016",2016-11-06
"1991 All-Ireland Senior Camogie Championship Final",1991-09-22
"The War to Settle the Score",1985-02-18
"Battle of Rivoli",1797-01-15
"Ghanaian general election, 2012",2012-12-08
"Freiämtersturm",1830-12-06
"Battle of Reims (1814)",1814-03-13
"Siege of Kraków (1655)",1655-10-13
"Illinois House of Representatives elections, 2012",2012-11-06
"Battle of Jersey",1781-01-06
"Battle of Białystok–Minsk",1941-07-03
"2012 Ukrainian Cup Final",2012-05-06
"Peoria, Illinois mayoral election, 1997",1997-04-01
"RINGS King of Kings Tournament 1999",1999-10-28
"United States presidential election in Connecticut, 2008",2008-11-04
"Romanian legislative election, 2008",2008-11-30
"1922 German football championship",1922-08-06
"Kilkenny County Council election, 2014",2014-05-23
"Battle of Totopotomoy Creek",1864-05-30
"United States House of Representatives elections, 1900",1900-11-06
"2004 Football League Trophy Final",2004-03-21
"Kowloon City District Council election, 2011",2011-11-06
"Liberation of Kuwait campaign",1991-02-28
"Siege of Kijevo (1991)",1991-08-26
"1935 All-Ireland Senior Hurling Championship Final",1935-09-01
"2015 Burkinabé coup d'état",2015-09-16
"Houthi insurgency in Yemen",2004-06-18
"Battle of Hokuetsu",1868-03-29
"2009 Toronto International Film Festival",2009-09-10
"Oklahoma State Fair",1907-10-05
"Liberal Party of Australia leadership spill, September 2015",2015-09-14
"European Parliament election, 1999 (Netherlands)",1999-06-10
"2005 Tarapacá earthquake",2005-06-13
"Battle of Vitebsk (1812)",1812-07-27
"Battle of Zújar",1811-08-09
"Battle of Jarosław (1656)",1656-03-15
"1976 Taça de Portugal Final",1976-06-13
"Battle of Crucifix Hill",1944-10-08
"Battle of Binh Ba",1969-06-08
"Danish general election, 1957",1957-05-14
"United States Senate election in New York, 1992",1992-11-03
"Battle of Beledweyne (2008)",2008-07-26
"1971 European Cup Final",1971-06-02
"Federal War",1859-01-20
"Iraqi Kurdistan parliamentary election, 2013",2013-09-21
