title,date
"United States presidential election in Florida, 1980",1980-11-04
"Sudanese conflict in South Kordofan and Blue Nile",2011-06-05
"Battle of Trnava (1430)",1430-07-11
"Battle of Amstetten",1805-11-05
"Second Seminole War",1835-12-23
"Canadian federal election, 1935",1935-10-14
"Battle of Miyako Bay",1869-05-06
"United States House of Representatives elections in Pennsylvania, 1812",1812-10-13
"MLS Cup 2004",2004-11-14
"Muntinlupa local elections, 2016",2016-05-09
"Operation Commando Eagle",2007-06-21
"Dingtao Campaign",1946-09-02
"Los Angeles mayoral election, 1919",1919-06-03
"San Diego mayoral election, 2012",2012-11-06
"Madrid City Council election, 1999",1999-06-13
"Second Battle of Tikrit",2015-04-17
"Seven Days Battles",1862-07-01
"Battle of Finta",1653-05-27
"1985 Cup of the Soviet Army Final",1985-05-09
"Battle of Bad Axe",1832-08-02
"1951 Kurşunlu earthquake",1951-08-13
"Castile and León parliamentary election, 2007",2007-05-27
"United States presidential election in Alaska, 1968",1968-11-05
"Battle of Molino del Rey",1847-09-08
"United States Senate election in Texas, 1972",1972-11-07
"In Your House 2",1995-07-23
"1991 Football League Trophy Final",1991-05-26
"United States Senate election in Iowa, 1986",1986-11-03
"Operation Minden",1951-09-12
"United States House of Representatives elections in Florida, 2014",2014-11-04
"New York City mayoral election, 1969",1969-11-04
"2003 Zhaosu earthquake",2003-12-01
"Prince Edward Island general election, 1923",1923-07-24
"Broadway expedition",1841-03-15
"Boston campaign",1774-09-01
"United States presidential election in New Mexico, 1960",1960-11-08
"Mexican general election, 1917",1917-03-11
"Battle for Velikiye Luki",1942-11-19
"2011 Lamar Hunt U.S. Open Cup Final",2011-10-04
"WEC 28",2007-06-03
"Battle of St. Jakob an der Sihl",1443-07-22
"United States Senate election in South Carolina, 1914",1914-11-03
"Dundee City Council election, 2012",2012-05-03
"1993 Dutch Supercup",1993-08-08
"Battle of Salamanca",1812-07-22
"2011 Iran–Iraq cross-border raids",2011-07-11
"The Ultimate Fighter: American Top Team vs. Blackzilians  The Ultimate Fighter: American Top Team vs. Blackz  1",2015-07-12
"1984 Otaki earthquake",1984-09-14
"Pennsylvania gubernatorial election, 1854",1854-11-07
"Maine gubernatorial election, 1956",1956-09-10
"2003 Sundance Film Festival",2003-01-26
"2008 Skåne County earthquake",2008-12-16
"Action of 15 July 1798",1798-07-15
"Nigerian presidential election, 2011",2011-04-16
"Shamrock Bowl XXV",2011-07-31
"United States presidential election in Michigan, 1992",1992-11-03
"Louisiana gubernatorial election, 1967",1967-11-04
"2010 Football League Cup Final",2010-02-28
"Battle of Peachtree Creek",1864-07-20
"Battle on the Elster",1080-10-14
"Battle of Ganale Doria",1936-01-20
"Indian general election, 2004",2004-05-10
"United States Senate election in Maine, 2006",2006-11-02
"Siege of Philippsburg (1734)",1734-07-18
"Bombardment of Madras",1914-09-22
"California gubernatorial election, 2010",2010-11-02
"Romanian general election, 1920",1920-05-27
"Dutch general election, 1959",1959-03-12
"United States House of Representatives elections in Florida, 1898",1898-11-08
"Siege of Suncheon",1598-10-07
"Malaysian general election, 1982",1982-04-22
"2009 Svenska Cupen Final",2009-11-07
"United States Senate special election in Wyoming, 2008",2008-11-04
"Battle of Chedabucto",1690-06-03
"World Series of Fighting 21: Palmer vs. Horodecki",2015-06-05
"Corrèze's 3rd constituency election, 1981",1981-06-14
"Battle of Lihula",1220-08-08
"Battle of Suzdal",1445-07-07
"Battle of Baçente",1542-02-02
"United Kingdom local elections, 2009",2009-06-04
"Convoy OB 318",1941-05-10
"United States presidential election in California, 2016",2016-11-08
"Yukon general election, 2000",2000-04-17
"Operation Red Wings",2005-06-27
"United States presidential election in Connecticut, 2016",2016-11-08
"Cambridgeshire County Council election, 2013",2013-05-02
"Second Battle of Jenné",1893-04-11
"Kent County Council election, 2009",2009-06-04
"Five Days of Milan",1848-03-22
"Siege of Belgrade (1789)",1789-10-08
"68th World Science Fiction Convention",2010-09-06
"Infierno en el Ring (2009)",2009-07-31
"United States Senate election in South Dakota, 2004",2004-11-02
"Fall of Kismayo",2007-01-01
"New York gubernatorial election, 1842",1842-11-08
"Battle of Zhangjiawan",1860-09-18
"Albanian Revolt of 1911",1911-03-24
"Wyoming gubernatorial election, 2006",2006-11-07
"Battle of Merta",1790-09-10
"Battle of Valtetsi",1821-05-24
"Australian Capital Territory general election, 2008",2008-10-18
"UEFA Euro 2016 Final",2016-07-10
"World Series of Fighting 2: Central America",2013-12-14
"Battle of Ebenezer Church",1865-04-01
"World Series of Fighting 18: Moraes vs. Hill",2015-02-12
"1959 Mosul uprising",1959-03-11
"Homenaje a Dos Leyendas (2009)",2009-03-20
"1621 Panama earthquake",1621-05-02
"Battle of Deserted House",1863-01-30
"Los Angeles mayoral election, 1989",1989-04-11
"Albuquerque mayoral election, 2001",2001-10-02
"United States presidential election in Nevada, 2008",2008-11-04
"Dutch–Portuguese War",1630-03-03
"United States House of Representatives elections in California, 2016",2016-11-08
"United States Senate elections, 1916",1916-11-07
"United States Senate election in Maine, 2018",2018-11-06
"1990 Copa del Rey Final",1990-04-05
"Air battle over Niš",1944-11-07
"57th World Science Fiction Convention",1999-09-06
"2014 Singapore Charity Shield",2014-02-21
"Botswana general election, 2009",2009-10-16
"Belarusian presidential election, 1994",1994-07-10
"1996 Johan Cruijff Schaal",1996-08-18
"Turkish general election, 1954",1954-05-02
"Oregon gubernatorial election, 1970",1970-11-03
"Edmonton municipal election, 2013",2013-10-21
"2003 Supertaça Cândido de Oliveira",2003-08-10
"1938 All-Ireland Senior Camogie Championship Final",1938-10-30
"1935 FA Cup Final",1935-04-27
"Bombardment of Algiers (1783)",1783-08-08
"Dublin City Council election, 2014",2014-05-23
"Campaign to Suppress Bandits in Shiwandashan",1950-12-13
"United States House of Representatives election in Alaska, 2014",2014-11-04
"Battle of Al Qaim",2005-05-19
"Dutch East Indies campaign",1941-12-08
"Portuguese legislative election, 1999",1999-10-10
"2001 Football League Third Division play-off Final",2001-05-26
"Action of 2 May 1707",1707-05-03
"Guerra del Golfo (2012)",2012-04-15
"Queensland state election, 1950",1950-04-29
"Matanikau Offensive",1942-11-04
"Alabama gubernatorial election, 1962",1962-11-06
"Battle of Alcañiz",1809-05-23
"EMLL 8th Anniversary Show",1941-09-25
"1987 Rugby World Cup Final",1987-06-20
"Raid on Nekhl",1917-02-21
"The Great American Bash (1989)",1989-07-23
"Split local elections, 2013",2013-06-02
"United States House of Representatives elections in Arkansas, 2016",2016-11-06
"UFC Fight Night: Nogueira vs. Nelson",2014-04-11
"Attack at Ament's Cabin",1832-06-18
"United Kingdom local elections, 2004",2004-06-10
"1993 Football League Cup Final",1993-04-18
"22nd Yokohama Film Festival",2001-02-04
"1960 German football championship",1960-06-25
"Battle of Chlumec",1126-02-18
"Battle of Nauheim",1757-08-30
"British Columbia general election, 1966",1966-09-12
"Lockdown (2012)",2012-04-15
"King of the Ring (2010)",2010-11-29
"Battle of Thouars",1793-05-05
"East Ayrshire Council election, 2012",2012-05-03
"Battle of Irish Bend",1863-04-14
"Ambush of Geary",1776-12-14
"1992 Copa Master Final",1992-05-31
"Battle of the Catalaunian Plains",0451-06-20
"MLS Cup 2008",2008-11-23
"1981 Toronto International Film Festival",1981-09-10
"Battle of Ginietyny",1863-04-21
"Bombardment of San Juan",1898-05-12
"United States House of Representatives elections, 1926",1926-11-02
"Battle of Drummond's Island",1841-04-09
"United States House of Representatives election in North Dakota, 2014",2014-11-04
"1935 German football championship",1935-06-23
"1961 All-Ireland Senior Football Championship Final",1961-09-24
"Hamburg state election, 2015",2015-02-15
"Battle of Jamrud",1837-04-30
"Submarine incident off Kola Peninsula",1993-03-20
"Wan Chai District Council election, 2007",2007-11-18
"Borota raid",2006-01-06
"1936 All-Ireland Senior Hurling Championship Final",1936-09-06
"Philippine Senate election, 1963",1963-11-12
"2008 Qeshm earthquake",2008-09-10
"Siege of Namur (1692)",1692-06-30
"Swiss Federal Council election, 2009",2009-09-16
"United States presidential election in New Jersey, 1964",1964-11-03
"WEC 29",2007-08-05
"World Series of Fighting 14: Ford vs. Shields",2014-10-11
"Odisha Legislative Assembly election, 2009",0023-04-16
"Malawian general election, 2014",2014-05-20
"United States Senate election in Texas, 1994",1994-11-08
"Operation Bolo",1967-01-02
"Wisconsin Supreme Court election, 2011",2011-04-05
"United States presidential election in Maine, 1824",1824-12-02
"First Battle of Murfreesboro",1862-07-13
"Hong Kong sanitary board election, 1929",1929-05-22
"Battle of Monte Cassino",1944-05-18
"Maine gubernatorial election, 1994",1994-11-08
"Scottish local elections, 1995",1995-04-06
"Louisiana gubernatorial election, 1948",1948-02-24
"Los Angeles mayoral election, 1900",1900-12-03
"1978 FA Cup Final",1978-05-06
"United States presidential election, 1828",1828-12-02
"1908 Svenska Mästerskapet Final",1908-10-11
"NXT TakeOver: Fatal 4-Way",2014-09-11
"United States Senate election in Virginia, 1982",1982-11-02
"United States Senate election in Vermont, 1946",1946-11-05
"Battle of Al Rumaythah",2006-09-26
"1941 All-Ireland Senior Camogie Championship Final",1941-10-12
"Battle of Maxen",1759-11-21
"Icelandic parliamentary election, 2013",2013-04-27
"Irish presidential election, 1966",1966-06-01
"43rd Berlin International Film Festival",1993-02-22
"Samland Offensive",1945-04-13
"Valencian parliamentary election, 1991",1991-05-26
"NATO intervention in Bosnia and Herzegovina",1992-07-16
"2015 Cupa României Final",2015-05-31
"First Battle of Dalton",1864-02-27
"Danish Folketing election, 1929",1929-04-24
"United States House of Representatives elections, 1948",1948-11-02
"Bellator Fighting Championships: Season Seven  Bellator 84  1",2012-12-14
"1997 Scottish Cup Final",1997-05-24
"Loss of the Kink Salient",1916-05-14
"United States presidential election in New Jersey, 1920",1920-11-02
"Battle of Ager Sanguinis",1119-06-28
"Battle of Sinop",1853-11-30
"UFC 144",2012-02-26
"Terry Gordy Memorial Show",2001-08-11
"Gibraltar general election, 2003",2003-11-28
"Hawaii gubernatorial election, 2006",2006-11-07
"2013 Arabian Gulf Super Cup",2013-08-30
"2012 Cupa României Final",2012-05-23
"Philippines Campaign (1941–42)",1941-12-08
"United States presidential election in South Dakota, 1988",1988-11-08
"Night of Champions (2011)",2011-09-18
"Polish legislative election, 1969",1969-06-01
"UFC 95",2009-02-21
"Denver mayoral election, 2015",2015-05-05
"Battle of Kilometer 7",1932-11-07
"East Renfrewshire Council election, 2012",2012-05-03
"April 2010 Maoist attack in Dantewada",2010-04-06
"4th Yokohama Film Festival",1983-02-04
"W.A.K.O. World Championships 1990",1990-01-21
"United States presidential election in Kansas, 2008",2008-11-04
"Battle of Bréville",1944-06-13
"1966 FA Charity Shield",1966-08-13
"Battle of Aleppo (2012–present)",2012-07-19
"Bombing of Yawata (June 1944)",1944-06-16
"Third Carlist War",1872-04-21
"Andorran parliamentary election, 2009",2009-04-26
"Battle of the Gediz",1920-11-12
"2012 Nehru Cup Final",2012-09-02
"Missouri gubernatorial election, 1852",1852-08-02
"Egyptian parliamentary election, 1923–24",1924-01-12
"History of Derby County F.C. (1967–present)",2007-05-28
"Battle of Damme",1213-05-31
"Second Schleswig War",1864-10-30
"Central and Western District Council election, 2011",2011-11-06
"Battle of Głogów",1109-08-24
"Battle of La Guaira",1743-03-02
"Battle of Nachod",1866-06-27
"Second Chechen War",2009-04-15
"2010 Heineken Cup Final",2010-05-22
"Worek Plan",1939-09-25
"Irish general election, 2007",2007-05-24
"Affliction: Day of Reckoning",2009-01-24
"1969 European Cup Winners' Cup Final",1969-05-21
"Battle of Carbisdale",1650-04-27
"United States presidential election in Tennessee, 1984",1984-11-06
"2011 Indonesia Super League U-21 Final",2010-05-08
"Battle of Carthage (1861)",1861-07-05
"1979 All-Ireland Senior Camogie Championship Final",1979-09-09
"Danish general election, 1975",1975-01-09
"United States House of Representatives election in the District of Columbia, 1994",1994-11-08
"Operation Impact",2014-09-04
"Operation Dawn (1997)",1997-10-15
"Eastern District Council election, 2011",2011-11-06
"October 2014 Nicaragua earthquake",2014-10-13
"1960 Bulgarian Cup Final",1960-06-15
"United States Senate election in North Dakota, 2006",2006-11-07
"Costa Rican general election, 2002",2002-04-07
"Battle of Nam Quan",1855-05-10
"Shimmer Volumes",2015-10-11
"Operation Xieng Dong",1971-07-05
"United States presidential election in Maryland, 1996",1996-11-05
"Zagreb local elections, 2009",2009-05-17
"Mauritian general election, 1987",1987-08-30
"Battle of Marj al-Saffar (1126)",1126-01-26
"Gaoyou–Shaobo Campaign",1945-12-19
"Australia 31–0 American Samoa",2001-04-11
"Columbus, Ohio mayoral election, 2011",2011-11-08
"Operation Dingson",1944-06-18
"Camp Liberty killings",2009-05-11
"Dominican general election, 2014",2014-12-08
"Battle of Kivinebb",1555-03-11
"2008 Nord-Kivu campaign",2008-10-26
"German federal election, 1998",1998-09-27
"Greenlandic general election, 2013",2013-03-12
"Ogmore by-election, 2002",2001-12-07
"February 26 Incident",1936-02-29
"2015 Scottish League Cup Final",2015-03-15
"Siege of Athens and Piraeus (87–86 BC)",-0086-03-01
"2009 FIFA Club World Cup Final",2009-12-19
"Battle of Leuze",1691-09-18
"Thai general election, 1976",1976-04-04
"Battle of the Clouds",1777-09-16
"Cité Soleil raid of 2007",2007-02-10
"Battle of Mudki",1845-12-18
"856 Damghan earthquake",0856-12-22
"2011 Korean FA Cup Final",2011-10-15
"Battle of Oranik (1456)",1456-05-18
"1928 Campeonato de Portugal Final",1928-06-30
"French invasion of Jersey (1779)",1779-05-01
"Battle of Scheveningen",1653-07-31
"Siege of Inabayama Castle",1567-09-27
"2009 Yunnan earthquake",2009-07-09
"Battle of Warka",1656-04-07
"Battle of Picacho Pass",1862-04-15
"Hong Kong municipal election, 1957",1957-03-08
"Invasion of Lingayen Gulf",1945-01-09
"Peoria, Illinois mayoral election, 2013",2013-04-09
"Action of 22 January 1809",1809-01-22
"Unforgiven (2000)",2000-09-24
"1983 Bulgarian Cup Final",1983-04-03
"45th Berlin International Film Festival",1995-02-22
"Operation Nifty Package",1989-12-23
"Extreme Rules (2010)",2010-04-25
"Operation Verano",1958-08-08
"Invasion of England (1326)",1326-11-16
"Egyptian parliamentary election, 2015",2015-12-02
"United States presidential election in California, 1960",1960-11-08
"UFC 42",2003-04-25
"California lieutenant gubernatorial election, 1994",1994-11-08
"Jamaican general election, 2007",2007-09-03
"New York gubernatorial election, 1838",1838-11-07
"It's Showtime 2012 in Leeuwarden",2012-01-28
"Battles of La Naval de Manila",1646-03-15
"Virginia gubernatorial election, 1881",1881-11-08
"Murcian parliamentary election, 2015",2015-05-24
"2003 All-Ireland Senior Camogie Championship Final",2003-09-21
"Battle of Baiji (2014–15)",2014-12-23
"2003 All-Ireland Senior Ladies' Football Championship Final",2003-10-05
"United States Senate election in Utah, 1992",1992-11-03
"Battle of Kombi",1647-10-29
"1605 Nankai earthquake",1605-02-03
"Battle of Green Spring",1781-07-06
"Siege of Perpignan (1642)",1641-11-04
"2003 in WEC",2003-03-27
"Action of 13 August 1780",1780-08-13
"Strikeforce: Shamrock vs. Diaz",2009-04-11
"United States Senate election in Texas, 2006",2006-11-07
"Operation Market Sweep",2004-01-13
"United States presidential election, 1796",1796-12-07
"Wallachian Revolution of 1848",1848-09-25
"2011 Munster Senior Hurling Championship Final",2011-07-10
"2015 China earthquake",2015-07-03
"Second Battle of the Stronghold",1873-04-17
"2012 Toyota Premier Cup",2012-02-18
"United States Senate election in Wisconsin, 1992",1992-11-03
"Italian invasion of France",1940-06-25
"Ten Days' Campaign",1831-08-12
"Puerto Rican general election, 2012",2012-11-06
"Irish general election, 1938",1938-06-17
"2015 FIFA Beach Soccer World Cup Final",2015-07-19
"Dhaka International Trade Fair",1995-12-01
"Battle of Yeosu",1998-12-18
"Cambodian communal elections, 2012",2012-06-03
"2012 Stockholm International Film Festival",2012-11-18
"Vermont gubernatorial election, 1868",1868-09-08
"Battle of Udycz",1606-01-28
"Rhineland-Palatinate state election, 2011",2011-03-27
"Portuguese legislative election, 1945",1945-11-18
"Battle of Ayacucho",1824-12-09
"Battle of Caldiero (1809)",1809-04-30
"Battle of Hancock",1862-01-06
"1981 Entumbane Uprising",1981-02-12
"Action of 12 July 1564",1564-07-12
"United States presidential election in California, 1920",1920-11-02
"Battle of Stoczek",1831-02-14
"1999 FA Cup Final",1999-05-22
"13th Yokohama Film Festival",1992-03-08
"2015 in K-1",2015-11-21
"United States presidential election in Wyoming, 2000",2000-11-07
"Western Australian state election, 1956",1956-04-07
"United States Senate election in Connecticut, 1982",1982-11-02
"United States Senate election in Illinois, 1996",1996-11-05
"2004 All-Ireland Senior Football Championship Final",2004-09-26
"United States House of Representatives elections in Alabama, 2016",2016-11-08
"Battle of Bassano",1796-09-08
"1987 Full Members Cup Final",1987-03-29
"2015 CAF Super Cup",2015-02-21
"Siege of Cuautla",1812-05-02
"Battle of Voronezh (1943)",1943-02-02
"Missouri gubernatorial election, 1848",1848-08-07
"Capture of HMS Boxer",1813-09-05
"Battle of Kápolna",1849-02-27
"Bombardment of Alexandria",1882-07-13
"First Siege of Missolonghi",1822-12-31
"Singaporean general election, 1972",1972-09-02
"Operation Camargue",1953-08-10
"New South Wales state election, 1973",1973-11-17
"1913 All-Ireland Senior Football Championship Final",1913-12-14
"United States Senate election in South Dakota, 1986",1986-11-04
"United Kingdom general election, 2010 (Birmingham)",2010-05-06
"Battle of Lone Tree Hill",1944-09-01
"Battle of Quinton's Bridge",1778-03-18
"Border Wars (2012 wrestling event)",2012-05-12
"United States presidential election in Idaho, 1992",1992-11-03
"United States presidential election in Nevada, 2016",2016-11-08
"United States House of Representatives elections, 2008",2008-11-04
"Battle of Ingalls",1893-09-01
"1992 Flores earthquake",1992-12-12
"United States presidential election in New York, 1908",1908-11-03
"Siege of Opochka",1517-10-18
"United States Senate election in Maine, 1994",1994-11-07
"Chicago mayoral election, 1989",1989-04-04
"2006 Turkish Cup Final",2006-05-03
"Battle of Puerto Cabello",1743-04-16
"Battle of Saraqeb",2012-03-27
"Operation Atlante",1954-01-20
"United States Senate election in Pennsylvania, 2012",2012-11-06
"Battle of Shaho",1904-10-17
"Convoy HX 84",1940-11-05
"1953 Iranian coup d'état",1953-08-19
"Battle of Douvres Radar Station",1944-06-17
"Michigan gubernatorial election, 2018",2018-11-06
"German election and referendum, 1938",1938-04-10
"Battle of Ostrołęka (1831)",1831-05-26
"Battle of Taillebourg",1242-07-21
"Battle of Big Mound",1863-07-24
"2002 Belgian Cup Final",2002-05-09
"Battle of Van Buren",1862-12-28
"Fear & Loathing VIII",2015-11-15
"Battle of Ain Dara",1711-03-20
"French legislative election, 1791",1791-09-05
"Battle of the Frigidus",0394-09-05
"Pride 24",2002-12-23
"Battle of Medina de Rioseco",1808-07-14
"Midwest Invasion of 1967",1967-09-20
"Capitulation of Pasewalk",1806-10-29
"Mississippi gubernatorial election, 2003",2003-11-04
"Gibraltar general election, 2007",2007-10-11
"Los Angeles mayoral election, 1913",1913-06-03
"2000 Bulgarian Cup Final",2000-05-31
"1963 FA Charity Shield",1963-08-17
"WEC 17",2005-10-14
"Battle of Wambaw",1782-02-24
"Raids on Boulogne",1801-08-16
"UFC on Fuel TV: Franklin vs. Le",2012-11-10
"Oregon gubernatorial special election, 1948",1948-11-02
"Egyptian presidential confirmation referendum, 1993",1993-10-04
"Nagorno-Karabakh presidential election, 2012",2012-07-19
"1933 All-Ireland Senior Hurling Championship Final",1933-09-03
"Battle of Beicang",1900-08-05
"1992 Bulgarian Cup Final",1992-05-27
"Mission Albany",1944-06-15
"Battle of Cortenuova",1237-11-27
"Battle of Buxar",1764-10-22
"1941 Gloria Fault earthquake",1941-11-25
"Lithuanian presidential election, 1997–1998",1998-01-04
"Battle of Craney Island",1813-06-22
"Global Wars (2014)",2014-05-10
"1967 Intercontinental Cup",1967-11-04
"1998 All-Ireland Senior Football Championship Final",1998-09-27
"Farpoint Convention",1993-10-08
"2015 UEFA Champions League Final",2015-06-06
"Battle of Vittorio Veneto",1918-11-03
"1895 All-Ireland Senior Football Championship Final",1896-03-15
"New Zealand general election, 1981",1981-11-28
"Western Australian state election, 2001",2001-02-10
"UFC 115",2010-06-12
"Bellator Fighting Championships: Season Six  Bellator 61  1",2012-03-16
"United States presidential election in the District of Columbia, 1992",1992-11-03
"Battle of Tangdao",1161-11-16
"Battle off Cape Palos",1815-06-19
"Louisiana gubernatorial election, 1846",1846-01-05
"Battle of Knocknanuss",1647-11-13
"French legislative election, 1986",1986-03-16
"Battle of Wilkomierz",1435-09-01
"1978 European Cup Final",1978-05-10
"Operation Fustian",1943-07-16
"Long March",1934-10-16
"Bellator Fighting Championships: Season Three  Bellator 26  1",2010-08-26
"Second Battle of Yeonpyeong",2002-06-29
"Belarusian presidential election, 2001",2001-09-09
"İstanbul mayoral elections, 2009",2009-03-29
"New Jersey gubernatorial election, 1886",1886-11-02
"Battle of Poitiers",1356-09-19
"Third Battle of Tuxpan",1847-06-30
"Vejce massacre",2001-04-28
"Lufthansa Flight 181",1977-10-18
"Battle of Cross Keys",1862-06-08
"Operation MH - 2",2001-03-08
"Sarangani local elections, 2013",2013-05-13
"Royal Rumble (1990)",1990-01-21
"Mauritania–Senegal Border War",1989-04-09
"Rey del Ring (2013)",2013-05-19
"Democratic Party (HK) leadership election, 2010",2010-12-19
"NXT TakeOver: Respect",2015-10-07
"Greek presidential election, 2000",2000-02-08
"Arbroath 36–0 Bon Accord",1885-09-12
"The Ultimate Fighter: Team Bisping vs. Team Miller  The Ultimate Fighter: Team Bisping vs. Team Miller  1",2011-12-03
"United States House of Representatives election in the District of Columbia, 2002",2002-11-02
"Battle of Simmon's Bluff",1862-06-21
"Fritz Von Erich Retirement Show",1982-06-04
"Campaign to the South of Baoding",1947-01-21
"12th Moscow International Film Festival",1981-07-21
"Hong Kong local elections, 1985",1985-03-07
"Battle of Losecoat Field",1470-03-12
"2012 UEFA Europa League Final",2012-05-09
"Operation Zarb-e-Azb",2014-06-15
"South Australian state election, 1979",1979-09-15
"United States presidential election in South Carolina, 1832",1832-12-05
"1689 Boston revolt",1689-04-18
"Battle of Miechów",1863-02-17
"Extremaduran parliamentary election, 1999",1999-06-13
"Saskatchewan general election, 2016",2016-04-04
"United States Senate election in Massachusetts, 1952",1952-11-04
"Hong Kong local elections, 2007",2007-11-18
"CMLL Entre el Cielo y el Infierno",2010-10-15
"Ohio gubernatorial election, 2002",2002-11-05
"2010 Yushu earthquake",2010-04-14
"United States presidential election in New Mexico, 1916",1916-11-07
"Battle of Forts Clinton and Montgomery",1777-10-06
"Battle of Moncontour",1569-10-03
"March 2013 Nantou earthquake",2013-03-27
"Romanian armies in the Battle of Stalingrad",1942-11-19
"Moroccan general election, 1984",1984-09-14
"Pennsylvania gubernatorial election, 1914",1914-11-03
"Battle of San Nicolás",1811-03-02
"Battle of Bautzen (1945)",1945-04-30
"Batangas local elections, 2013",2013-05-13
"Los Angeles mayoral election, 2013",2013-05-21
"Costa Rican general election, 1994",1994-02-06
"Battle of Bengtskär",1941-07-26
"United States Senate election in New Mexico, 1978",1978-11-07
"French legislative election, 1842",1842-07-09
"New Jersey gubernatorial election, 1961",1961-11-07
"Northern Aleppo offensive (2016)",2016-02-16
"New Blood Rising",2000-08-13
"1987 Whittier Narrows earthquake",1987-10-01
"Guam Republican caucuses, 2008",2008-03-08
"57th Berlin International Film Festival",2007-02-18
"Polish presidential election, 9 December 1922",1922-12-09
"Macedonian Front",1915-10-21
"Battle of Saint Kitts",1782-01-25
"United Nations Security Council election, 2009",2009-10-15
"Northern Mariana Islands Republican caucuses, 2008",2008-02-23
"Pride 15",2001-07-29
"Operation Atalanta",2008-12-08
"Capture of Oporto",1580-10-24
"AS Adema 149–0 SO l'Emyrne",2002-10-31
"Battle of Villepion",1870-12-01
"Gloucestershire County Council election, 2013",2013-05-02
"K-1 World Grand Prix 2006 in Tokyo Final",2006-12-02
"Pride Final Conflict Absolute",2006-09-10
"2014 BNP Paribas de Nouvelle-Calédonie",2014-01-05
"1997 FA Women's Cup Final",1997-05-04
"2008 Chechnya earthquake",2008-10-11
"Battle of Campo Tenese",1806-03-09
"Aragonese parliamentary election, 1983",1983-05-08
"1973 Copa del Generalísimo Final",1973-06-29
"Siege of Khartoum",1884-03-13
"Battle of Alvøen",1808-05-16
"1819 Rann of Kutch earthquake",1819-06-16
"Fourth Encirclement Campaign against Jiangxi Soviet",1933-03-22
"1692 Salta earthquake",1692-09-13
"EMLL 55th Anniversary Show",1988-09-30
"Operation Airborne Dragon",2003-04-07
"Glory 15: Istanbul",2014-04-12
"United Kingdom general election, 2001 (Wales)",2001-06-07
"1896 Scottish Cup Final",1896-03-14
"Michigan Secretary of State election, 2014",2014-11-04
"UFC 93",2009-01-17
"1509 Constantinople earthquake",1509-09-10
"Royal Rumble (2016)",2016-01-24
"Appomattox Campaign",1865-04-09
"1755 Cape Ann earthquake",1755-11-18
"Victorian state election, 1907",1907-03-15
"Operación Lince Norte",2011-07-16
"Battle of Vaal Krantz",1900-02-07
"Bacoor local elections, 2016",2016-05-09
"Hamilton, Ontario, municipal election, 1944",1944-12-04
"United States House of Representatives election in Pennsylvania, 1788",1788-11-26
"Michigan gubernatorial election, 1978",1978-11-02
"Battle of Schooneveld",1673-06-14
"Battle of Aiken",1865-02-11
"First Sumatran expedition",1832-02-09
"Indonesian presidential election, 1998",1998-03-10
"2013 Copa del Rey Final",2013-05-17
"Western Australian state election, 1901",1901-04-24
"International Force for East Timor",1999-09-20
"United States Senate election in Virginia, 1994",1994-11-07
"United States House of Representatives election in North Dakota, 2006",2006-11-07
"North Dunedin by-election, 1953",1953-12-12
"1998 UEFA Super Cup",1998-08-28
"UFC 34",2001-11-02
"1966 Taça de Portugal Final",1966-05-22
"French legislative election, 1817",1817-09-20
"20 July plot",1944-07-20
"Siege of Ochakov (1737)",1737-07-02
"Wan Chai District Board election, 1985",1985-03-07
"South Ossetian presidential election, 2011",2011-11-27
"Cambodian general election, 1993",1993-05-28
"Action of 5 November 1916",1916-11-05
"Siege of Érsekújvár (1663)",1663-09-13
"1990 Recopa Sudamericana",1990-03-17
"First Battle of Zawiya",2011-03-10
"United States presidential election in Oregon, 1988",1988-11-08
"Death Before Dishonor XI",2013-09-20
"Wager's Action",1708-06-08
"Abia gubernatorial election, 2007",2007-04-14
"Jamaican general election, 2016",2016-02-25
"Battle of Mount Gray",1864-04-07
"Los Angeles mayoral election, 1977",1977-04-05
"Skirmish at Abbeville",1864-08-23
"Washington gubernatorial election, 2000",2000-11-07
"Democratic Party (Japan) leadership election, 2015",2015-01-18
"Ecuadorian general election, 2006",2006-10-15
"2005 Norwegian Football Cup Final",2005-11-06
"2006 All-Ireland Senior Hurling Championship Final",2006-09-03
"2008 All-Ireland Senior Camogie Championship Final",2008-09-14
"Alberta general election, 1955",1955-06-29
"Battle of Guinegate (1479)",1479-08-07
"Battle of the Dardanelles (1656)",1656-06-26
"Battle of Lauffeld",1747-07-02
"Victorian state election, 1927",1927-04-09
"Battle of First Bar",1841-02-27
"1884 Colchester earthquake",1884-04-22
"2008 Dodecanese earthquake",2008-07-15
"Ontario general election, 1871",1871-03-21
"Pakistani presidential election, 1965",1965-02-02
"Bellator Fighting Championships: Season Two  Bellator 18  1",2010-05-13
"London local elections, 1986",1986-05-08
"Belgian general election, 1859",1859-06-14
"United States House of Representatives elections in California, 2010",2010-11-02
"Third Siege of Gerona",1809-12-12
"Battle of Turda",1944-10-08
"United States presidential election in Iowa, 1996",1996-11-05
"Battle of Goose Green",1982-05-29
"Battle of Forum Gallorum",-0043-04-14
"Battle of Marengo",1800-06-14
"Michigan Republican primary, 2008",2008-01-15
"Capture of Minorca (1798)",1798-11-15
"Bellator Fighting Championships: Season One  Bellator 12  1",2009-06-19
"2015 Israel Super Cup",2015-08-15
"Puerto Rico gubernatorial election, 2008",2008-11-04
